controller01,3c:fd:fe:9c:72:58,172.24.0.23,255.255.252.0,172.24.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
controller02,68:05:ca:32:de:e0,172.24.0.24,255.255.252.0,172.24.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
controller03,3c:fd:fe:9c:73:c4,172.24.0.25,255.255.252.0,172.24.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
logging01,3c:fd:fe:9c:70:c0,172.24.0.26,255.255.252.0,172.24.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
controller04,3c:fd:fe:9c:6b:74,172.24.0.27,255.255.252.0,172.24.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
controller05,68:05:ca:32:49:70,172.24.0.28,255.255.252.0,172.24.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
cinder01,68:05:ca:35:8e:fc,172.24.0.29,255.255.252.0,172.24.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-cinder
cinder02,3c:fd:fe:9c:73:d8,172.24.0.30,255.255.252.0,172.24.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-cinder
cinder03,3c:fd:fe:9c:70:f8,172.24.0.31,255.255.252.0,172.24.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-cinder
swift01,68:05:ca:32:46:d0,172.24.0.32,255.255.252.0,172.24.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-swift
swift02,68:05:ca:32:df:a4,172.24.0.33,255.255.252.0,172.24.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-swift
swift03,3c:fd:fe:9c:67:ac,172.24.0.34,255.255.252.0,172.24.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-swift
compute01,3c:fd:fe:9c:6b:38,172.24.0.35,255.255.252.0,172.24.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
compute02,3c:fd:fe:9c:70:c4,172.24.0.36,255.255.252.0,172.24.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
compute03,3c:fd:fe:9c:71:ec,172.24.0.37,255.255.252.0,172.24.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
compute04,68:05:ca:32:e0:08,172.24.0.38,255.255.252.0,172.24.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
compute05,3c:fd:fe:9c:6b:d8,172.24.0.39,255.255.252.0,172.24.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
compute06,3c:fd:fe:9c:6f:e4,172.24.0.40,255.255.252.0,172.24.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
compute07,3c:fd:fe:9c:65:14,172.24.0.41,255.255.252.0,172.24.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
compute08,3c:fd:fe:9c:69:68,172.24.0.42,255.255.252.0,172.24.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
compute09,3c:fd:fe:9c:6b:f0,172.24.0.43,255.255.252.0,172.24.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
